label_en,label_es,desc_en,desc_es,type,state,MS_FB_PARE,MS_FB,WIKIDATA
VII Local Electoral District of Chihuahua,VII Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:7,Q53000377
VIII Local Electoral District of Chihuahua,VIII Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:8,Q53000384
IX Local Electoral District of Chihuahua,IX Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:9,Q53000393
X Local Electoral District of Chihuahua,X Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:10,Q53000395
XI Local Electoral District of Chihuahua,XI Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:11,Q53000398
XII Local Electoral District of Chihuahua,XII Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:12,Q53000401
XIII Local Electoral District of Chihuahua,XIII Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:13,Q53000404
XIV Local Electoral District of Chihuahua,XIV Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:14,Q53000407
XV Local Electoral District of Chihuahua,XV Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:15,Q53000408
XVI Local Electoral District of Chihuahua,XVI Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:16,Q53000412
XVII Local Electoral District of Chihuahua,XVII Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:17,Q53000419
XVIII Local Electoral District of Chihuahua,XVIII Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:18,Q53000429
XIX Local Electoral District of Chihuahua,XIX Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:19,Q53000431
XX Local Electoral District of Chihuahua,XX Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:20,Q53000434
XXI Local Electoral District of Chihuahua,XXI Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:21,Q53000436
XXII Local Electoral District of Chihuahua,XXII Distrito Electoral Local de Chihuahua,local district of Chihuahua,distrito local de Chihuahua,local electoral district of Chihuahua,Chihuahua,country:mx/state:chh,country:mx/state:chh/led:22,Q53000439
I Local Electoral District of Durango,I Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:1,Q53000440
II Local Electoral District of Durango,II Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:2,Q53000445
III Local Electoral District of Durango,III Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:3,Q53000447
IV Local Electoral District of Durango,IV Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:4,Q53000454
V Local Electoral District of Durango,V Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:5,Q53000465
VI Local Electoral District of Durango,VI Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:6,Q53000468
VII Local Electoral District of Durango,VII Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:7,Q53000470
VIII Local Electoral District of Durango,VIII Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:8,Q53000472
IX Local Electoral District of Durango,IX Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:9,Q53000475
X Local Electoral District of Durango,X Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:10,Q53000481
XI Local Electoral District of Durango,XI Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:11,Q53000483
XII Local Electoral District of Durango,XII Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:12,Q53000487
XIII Local Electoral District of Durango,XIII Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:13,Q53000490
XIV Local Electoral District of Durango,XIV Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:14,Q53000501
XV Local Electoral District of Durango,XV Distrito Electoral Local de Durango,local district of Durango,distrito local de Durango,local electoral district of Durango,Durango,country:mx/state:dur,country:mx/state:dur/led:15,Q53000504
I Local Electoral District of Guanajuato,I Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:1,Q53001927
II Local Electoral District of Guanajuato,II Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:2,Q53001930
III Local Electoral District of Guanajuato,III Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:3,Q53001931
IV Local Electoral District of Guanajuato,IV Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:4,Q53001934
V Local Electoral District of Guanajuato,V Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:5,Q53001937
VI Local Electoral District of Guanajuato,VI Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:6,Q53001938
VII Local Electoral District of Guanajuato,VII Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:7,Q53001941
VIII Local Electoral District of Guanajuato,VIII Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:8,Q53001943
IX Local Electoral District of Guanajuato,IX Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:9,Q53001945
X Local Electoral District of Guanajuato,X Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:10,Q53001963
XI Local Electoral District of Guanajuato,XI Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:11,Q53001973
XII Local Electoral District of Guanajuato,XII Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:12,Q53001975
XIII Local Electoral District of Guanajuato,XIII Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:13,Q53001977
XIV Local Electoral District of Guanajuato,XIV Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:14,Q53001981
XV Local Electoral District of Guanajuato,XV Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:15,Q53001982
XVI Local Electoral District of Guanajuato,XVI Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:16,Q53001985
XVII Local Electoral District of Guanajuato,XVII Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:17,Q53001987
XVIII Local Electoral District of Guanajuato,XVIII Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:18,Q53001989
XIX Local Electoral District of Guanajuato,XIX Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:19,Q53002002
XX Local Electoral District of Guanajuato,XX Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:20,Q53002016
XXI Local Electoral District of Guanajuato,XXI Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:21,Q53002019
XXII Local Electoral District of Guanajuato,XXII Distrito Electoral Local de Guanajuato,local district of Guanajuato,distrito local de Guanajuato,local electoral district of Guanajuato,Guanajuato,country:mx/state:gua,country:mx/state:gua/led:22,Q53002021
I Local Electoral District of Guerrero,I Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:1,Q52999219
II Local Electoral District of Guerrero,II Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:2,Q52999221
III Local Electoral District of Guerrero,III Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:3,Q52999223
IV Local Electoral District of Guerrero,IV Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:4,Q52999226
V Local Electoral District of Guerrero,V Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:5,Q52999230
VI Local Electoral District of Guerrero,VI Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:6,Q52999232
VII Local Electoral District of Guerrero,VII Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:7,Q52999234
VIII Local Electoral District of Guerrero,VIII Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:8,Q52999235
IX Local Electoral District of Guerrero,IX Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:9,Q52999237
X Local Electoral District of Guerrero,X Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:10,Q52999249
XI Local Electoral District of Guerrero,XI Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:11,Q52999258
XII Local Electoral District of Guerrero,XII Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:12,Q52999260
XIII Local Electoral District of Guerrero,XIII Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:13,Q52999262
XIV Local Electoral District of Guerrero,XIV Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:14,Q52999264
XV Local Electoral District of Guerrero,XV Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:15,Q52999268
XVI Local Electoral District of Guerrero,XVI Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:16,Q52999272
XVII Local Electoral District of Guerrero,XVII Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:17,Q52999274
XVIII Local Electoral District of Guerrero,XVIII Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:18,Q52999277
XIX Local Electoral District of Guerrero,XIX Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:19,Q52999286
XX Local Electoral District of Guerrero,XX Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:20,Q52999299
XXI Local Electoral District of Guerrero,XXI Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:21,Q52999301
XXII Local Electoral District of Guerrero,XXII Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:22,Q52999304
XXIII Local Electoral District of Guerrero,XXIII Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:23,Q52999306
XXIV Local Electoral District of Guerrero,XXIV Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:24,Q52999308
XXV Local Electoral District of Guerrero,XXV Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:25,Q52999312
XXVI Local Electoral District of Guerrero,XXVI Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:26,Q52999314
XXVII Local Electoral District of Guerrero,XXVII Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:27,Q52999316
XXVIII Local Electoral District of Guerrero,XXVIII Distrito Electoral Local de Guerrero,local district of Guerrero,distrito local de Guerrero,local electoral district of Guerrero,Guerrero,country:mx/state:gro,country:mx/state:gro/led:28,Q52999323
I Local Electoral District of Hidalgo,I Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:1,Q53002022
II Local Electoral District of Hidalgo,II Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:2,Q53002025
III Local Electoral District of Hidalgo,III Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:3,Q53002029
IV Local Electoral District of Hidalgo,IV Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:4,Q53002031
V Local Electoral District of Hidalgo,V Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:5,Q53002032
VI Local Electoral District of Hidalgo,VI Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:6,Q53002046
VII Local Electoral District of Hidalgo,VII Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:7,Q53002057
VIII Local Electoral District of Hidalgo,VIII Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:8,Q53002059
IX Local Electoral District of Hidalgo,IX Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:9,Q53002061
X Local Electoral District of Hidalgo,X Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:10,Q53002063
XI Local Electoral District of Hidalgo,XI Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:11,Q53002066
XII Local Electoral District of Hidalgo,XII Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:12,Q53002068
XIII Local Electoral District of Hidalgo,XIII Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:13,Q53002071
XIV Local Electoral District of Hidalgo,XIV Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:14,Q53002072
XV Local Electoral District of Hidalgo,XV Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:15,Q53002083
XVI Local Electoral District of Hidalgo,XVI Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:16,Q53002092
XVII Local Electoral District of Hidalgo,XVII Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:17,Q53002095
XVIII Local Electoral District of Hidalgo,XVIII Distrito Electoral Local de Hidalgo,local district of Hidalgo,distrito local de Hidalgo,local electoral district of Hidalgo,Hidalgo,country:mx/state:hid,country:mx/state:hid/led:18,Q53002097
I Local Electoral District of Jalisco,I Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:1,Q53002100
II Local Electoral District of Jalisco,II Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:2,Q53002102
III Local Electoral District of Jalisco,III Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:3,Q53002105
IV Local Electoral District of Jalisco,IV Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:4,Q53002107
V Local Electoral District of Jalisco,V Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:5,Q53002109
VI Local Electoral District of Jalisco,VI Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:6,Q53002118
VII Local Electoral District of Jalisco,VII Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:7,Q53002128
VIII Local Electoral District of Jalisco,VIII Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:8,Q53002130
IX Local Electoral District of Jalisco,IX Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:9,Q53002133
X Local Electoral District of Jalisco,X Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:10,Q53002135
XI Local Electoral District of Jalisco,XI Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:11,Q53002138
XII Local Electoral District of Jalisco,XII Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:12,Q53002140
XIII Local Electoral District of Jalisco,XIII Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:13,Q53002144
XIV Local Electoral District of Jalisco,XIV Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:14,Q53002146
XV Local Electoral District of Jalisco,XV Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:15,Q53002156
XVI Local Electoral District of Jalisco,XVI Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:16,Q53002167
XVII Local Electoral District of Jalisco,XVII Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:17,Q53002169
XVIII Local Electoral District of Jalisco,XVIII Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:18,Q53002171
XIX Local Electoral District of Jalisco,XIX Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:19,Q53002173
XX Local Electoral District of Jalisco,XX Distrito Electoral Local de Jalisco,local district of Jalisco,distrito local de Jalisco,local electoral district of Jalisco,Jalisco,country:mx/state:jal,country:mx/state:jal/led:20,Q53002175
I Local Electoral District of México,I Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:1,Q52992271
II Local Electoral District of México,II Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:2,Q52992274
III Local Electoral District of México,III Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:3,Q52992276
IV Local Electoral District of México,IV Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:4,Q52992279
V Local Electoral District of México,V Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:5,Q52992281
VI Local Electoral District of México,VI Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:6,Q52992282
VII Local Electoral District of México,VII Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:7,Q52992286
VIII Local Electoral District of México,VIII Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:8,Q52992287
IX Local Electoral District of México,IX Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:9,Q52992289
X Local Electoral District of México,X Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:10,Q52992301
XI Local Electoral District of México,XI Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:11,Q52992313
XII Local Electoral District of México,XII Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:12,Q52992315
XIII Local Electoral District of México,XIII Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:13,Q52992318
XIV Local Electoral District of México,XIV Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:14,Q52992319
XV Local Electoral District of México,XV Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:15,Q52992320
XVI Local Electoral District of México,XVI Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:16,Q52992324
XVII Local Electoral District of México,XVII Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:17,Q52992326
XVIII Local Electoral District of México,XVIII Distrito Electoral Local de México,local district of México,distrito local de México,local electoral district of México,México,country:mx/state:mex,country:mx/state:mex/led:18,Q52992329
